file,source_page,alt_text_guess,suggested_chapter
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Breakout_PCB_Review.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Breakout_PCB_Review.jpg,Breakout PCB Review,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/KIAUH_install_opt.png,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/KIAUH_install_opt.png,KIAUH install opt,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Neopixel_Connection.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Neopixel_Connection.jpg,Neopixel Connection,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Oct_Pwr_Loc.png,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Oct_Pwr_Loc.png,Oct Pwr Loc,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Octopus_Jumpers.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Octopus_Jumpers.jpg,Octopus Jumpers,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Octopus_Populated.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Octopus_Populated.jpg,Octopus Populated,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Octopus_Power_Board_Comparison.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Octopus_Power_Board_Comparison.jpg,Octopus Power Board Comparison,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Octopus_Pwr_Adapter_Location.svg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Octopus_Pwr_Adapter_Location.svg,Octopus Pwr Adapter Location,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Octopus_Review.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Octopus_Review.jpg,Octopus Review,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Octopus_Unpopulated.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Octopus_Unpopulated.jpg,Octopus Unpopulated,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/PCB_Fan_Splicer.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/PCB_Fan_Splicer.jpg,PCB Fan Splicer,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/PITFT43_FFC.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/PITFT43_FFC.jpg,PITFT43 FFC,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Probe_Insulation.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Probe_Insulation.jpg,Probe Insulation,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/RPI_DSI_FFC.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/RPI_DSI_FFC.jpg,RPI DSI FFC,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/RaspberryPi4_Prep.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/RaspberryPi4_Prep.jpg,RaspberryPi4 Prep,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S01_DIN_Rails.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S01_DIN_Rails.jpg,S01 DIN Rails,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S02_General_Placement.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S02_General_Placement.jpg,S02 General Placement,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S03_Stepper_Motors.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S03_Stepper_Motors.jpg,S03 Stepper Motors,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S04_Inlet_PSU.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S04_Inlet_PSU.jpg,S04 Inlet PSU,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S05_Bed_24V.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S05_Bed_24V.jpg,S05 Bed 24V,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S06_Nozzle_Probe.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S06_Nozzle_Probe.jpg,S06 Nozzle Probe,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S07_Toolhead_Cables.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S07_Toolhead_Cables.jpg,S07 Toolhead Cables,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S08_Breakout_1.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S08_Breakout_1.jpg,S08 Breakout 1,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S09_Breakout_2.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S09_Breakout_2.jpg,S09 Breakout 2,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S10_RPI_Connections.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S10_RPI_Connections.jpg,S10 RPI Connections,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S11_Eth_DSI.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S11_Eth_DSI.jpg,S11 Eth DSI,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/S12_Final.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/S12_Final.jpg,S12 Final,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/SSR_Close_Up.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/SSR_Close_Up.jpg,SSR Close Up,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/Waveshare_TFT_FFC.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/Waveshare_TFT_FFC.jpg,Waveshare TFT FFC,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/bed_heater_wires.png,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/bed_heater_wires.png,bed heater wires,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/bed_heater_wires.svg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/bed_heater_wires.svg,bed heater wires,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/bed_wago_mount.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/bed_wago_mount.jpg,bed wago mount,10-wiring.md
docs/manual/assets/ldo/LDOVoron2/Images/WiringGuide/RevC/build_plate_bottom_view.jpg,https://raw.githubusercontent.com/MotorDynamicsLab/LDOVoron2/8270e8cf6c7ba29a7fd11d143c287bd3af576934/Images/WiringGuide/RevC/build_plate_bottom_view.jpg,build plate bottom view,10-wiring.md
